Code	Vertaling	CQL
000	N(sing)	pos=N, feat.getal=ev
001	N(sing,forme)	pos=N, feat.getal=ev, feat.form=-e
002	N(sing,forms)	pos=N, feat.getal=ev, feat.form=-s/-th
003	N(sing,formt)	pos=N, feat.getal=ev, feat.form=-t
004	N(sing,formn)	pos=N, feat.getal=ev, feat.form=-n
005	N(sing,formr)	pos=N, feat.getal=ev, feat.form=-r/-re
006	N(sing,formao)	pos=N, feat.getal=ev, feat.form=-a
008	N(sing,formrest)	pos=N, feat.getal=ev
010	N(plu,formbase)	pos=N, feat.getal=mv
011	N(plu,forme)	pos=N, feat.getal=mv, feat.form=-e
012	N(plu,forms)	pos=N, feat.getal=mv, feat.form=-s/-th
014	N(plu,formn)	pos=N, feat.getal=mv, feat.form=-n
015	N(plu,formr)	pos=N, feat.getal=mv, feat.form=-r/-re
016	N(plu,formao)	pos=N, feat.getal=mv, feat.form=-a
018	N(plu,formrest)	pos=N, feat.getal=mv
020	N(sing,prop)	pos=N, feat.ntype=eigen
021	N(sing,prop,forme)	pos=N, feat.ntype=eigen, feat.form=-e
022	N(sing,prop,forms)	pos=N, feat.ntype=eigen, feat.form=-s/-th
024	N(sing,prop,formn)	pos=N, feat.ntype=eigen, feat.form=-n
025	N(sing,prop,formr)	pos=N, feat.ntype=eigen, feat.form=-r/-re
026	N(sing,prop,formao)	pos=N, feat.ntype=eigen, feat.form=-a
028	N(sing,prop,formrest)	pos=N, feat.ntype=eigen
031	N(plu,prop,forme)	pos=N, feat.getal=mv, feat.ntype=eigen, feat.form=-e
034	N(plu,prop,formn	pos=N, feat.getal=mv, feat.ntype=eigen, feat.form=-n
100	Adj()	pos=ADJ, feat.getal=ev
101	Adj(forme)	pos=ADJ, feat.getal=ev, feat.form=-e
102	Adj(forms)	pos=ADJ, feat.getal=ev, feat.form=-s/-th
104	Adj(formn)	pos=ADJ, feat.getal=ev, feat.form=-n
105	Adj(formr)	pos=ADJ, feat.getal=ev, feat.form=-r/-re
